Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Rafael Flores Jr.","PIT",11,47,42,10,7,2,0,1,5,5,4,0,13,0,0,0,,0,0,0.245504,0.0779243,0.283367,0.274994,0.308878,0.386116,0.304548,0.694995,0.140612,3.18691,0.326456,-0.0103583,-0.0348748,5.18427,-0.321875,92.3266,-0.045233,-0.500754,-0.4690393842756748,-0.37575364112854004,0.0719582,999,,,,,,,41.2,3.745454545,41.2,3.745454545,,,,,,,,,,,,,,,,,,,"Rafael Flores Jr.","31991",804668
"Jorge Barrosa","ARI",24,105,94,21,15,5,1,2,11,10,9,0,24,1,1,1,,2,1,0.227351,0.0855897,0.228767,0.374134,0.297358,0.33767,0.281513,0.635028,0.110319,4.66049,0.28709,-0.0102111,-0.133162,9.71761,-2.68895,77.4465,-0.143373,0.881586,-2.9500867426395416,0.15658551454544067,0.0716059,999,,,,,,,93.6,3.9,93.6,3.9,,,,,,,,,,,,,,,,,,,"Jorge Barrosa","23968",678489
"Chas McCormick","CHC",11,49,43,10,7,2,0,1,6,5,4,0,13,1,0,0,,2,1,0.228193,0.0867071,0.269399,0.321853,0.306306,0.364578,0.296144,0.670884,0.136385,5.03029,0.292465,-0.0559264,-0.0298051,5.11694,-0.672788,90.2454,-0.0857315,0.0448234,-0.6522293761372566,-0.2801766097545624,0.0713973,999,,,,,,,44.2,4.018181818,44.2,4.018181818,,,,,,,,,,,,,,,,,,,"Chas McCormick","19599",676801
"Rowdy Tellez",,44,189,171,40,25,7,0,8,20,24,15,0,46,1,2,0,,1,0,0.231661,0.0783937,0.241632,0.324434,0.295675,0.412818,0.306542,0.708493,0.181156,2.3343,0.265886,-0.180147,-0.192414,21.3324,-0.999406,95.2867,-0.372561,-0.420465,-1.4254275560379028,-4.295465260744095,0.0691307,999,,,,,,,198.4,4.509090909,198.4,4.509090909,,,,,,,,,,,,,,,,,,,"Rowdy Tellez","15679",642133
"Maximo Acosta","MIA",15,63,57,13,9,2,0,1,7,6,5,0,16,1,0,0,,2,1,0.224444,0.0727884,0.246667,0.295088,0.286065,0.343954,0.278273,0.630018,0.11951,5.54528,0.281838,0.00528301,0.0153219,5.66483,-1.77911,74.87,0.0206049,0.00365958,-1.8557994980365038,0.4286595934536308,0.0684353,999,,,,,,,50,3.333333333,50,3.333333333,,,,,,,,,,,,,,,,,,,"Maximo Acosta","27963",691185
"Korey Lee","CHW",34,134,125,28,18,5,0,4,14,14,7,0,36,1,0,0,,2,1,0.220238,0.0553861,0.269407,0.205585,0.267244,0.355598,0.272253,0.622842,0.135361,4.19898,0.278142,0.0385803,-0.0728933,11.4281,-4.45228,71.8318,-0.034313,-0.90281,-4.4963271878659725,1.7221896052360535,0.0671117,999,,,,,,,108.9,3.202941176,108.9,3.202941176,,,,,,,,,,,,,,,,,,,"Korey Lee","25543",686676
"Ben Gamel","ATL",16,70,61,14,9,3,0,2,8,7,8,0,21,1,0,0,,1,0,0.226693,0.114972,0.294685,0.390151,0.321729,0.36307,0.304397,0.684798,0.136376,3.45374,0.312116,-0.045483,-0.150772,7.77898,-0.492056,93.6361,-0.196255,-0.214261,-0.7242323607206345,-0.9642613530158997,0.0655233,999,,,,,,,73.8,4.6125,73.8,4.6125,,,,,,,,,,,,,,,,,,,"Ben Gamel","12160",592325
"Walker Jenkins","MIN",8,35,31,7,5,2,0,1,4,4,3,0,8,0,0,0,,1,0,0.239449,0.0960582,0.221184,0.434291,0.321287,0.363927,0.304239,0.685214,0.124478,5.00879,0.296313,-0.00315537,0.0138038,3.88498,-0.250537,93.3644,0.0106484,-0.228103,-0.2630804134532809,-0.3031034618616104,0.0653224,999,,,,,,,34.3,4.2875,34.3,4.2875,,,,,,,,,,,,,,,,,,,"Walker Jenkins","sa3022894",805805
"Jose Siri","LAA",8,35,32,6,4,1,0,1,4,4,2,0,13,0,0,0,,1,0,0.201114,0.0649732,0.362968,0.179005,0.260484,0.369666,0.274288,0.63015,0.168553,5.83727,0.281606,0.0145682,0.0584502,3.03389,-1.10163,72.3123,0.0730183,0.367194,-1.0691423267126083,0.4921938478946686,0.064221,999,,,,,,,21.8,2.725,21.8,2.725,,,,,,,,,,,,,,,,,,,"Jose Siri","17452",642350
"Nelson Rada","LAA",15,63,55,13,11,2,0,0,7,5,6,0,15,1,0,1,,3,1,0.23999,0.0927632,0.23783,0.390041,0.320841,0.305013,0.284306,0.625854,0.0650236,5.65756,0.319728,-0.00811012,0.0463584,5.97341,-1.47053,79.2133,0.0382482,0.128345,-1.5052267909049988,-0.04665493965148926,0.0630732,999,,,,,,,47.5,3.166666666,47.5,3.166666666,,,,,,,,,,,,,,,,,,,"Nelson Rada","sa3018421",703185
"Tristan Gray","MIN",15,63,58,13,8,3,0,2,7,7,4,0,18,1,1,0,,0,0,0.220278,0.0653603,0.288281,0.226725,0.277635,0.377099,0.284191,0.654734,0.156822,3.5062,0.284462,-0.0163943,-0.0845798,5.96753,-1.47641,79.5543,-0.100974,-0.0628215,-1.6191250458359718,0.06217854470014572,0.062555,999,,,,,,,57.3,3.82,57.3,3.82,,,,,,,,,,,,,,,,,,,"Tristan Gray","19877",656484
"Bryan Torres","STL",5,21,18,5,4,1,0,0,2,2,2,0,4,0,0,0,,1,0,0.269394,0.112409,0.171511,0.655405,0.353327,0.352229,0.316321,0.705556,0.0828343,4.51369,0.32328,-0.00544195,-0.000382548,2.537,0.055691,104.423,-0.0058245,-0.175383,0.10427311388775706,-0.20038261637091637,0.06165,999,,,,,,,20.8,4.16,20.8,4.16,,,,,,,,,,,,,,,,,,,"Bryan Torres","sa885119",663494
"Ryan Kreidler","MIN",24,105,91,18,12,4,0,2,11,9,11,0,32,1,1,1,,3,1,0.195964,0.105838,0.309016,0.342498,0.291344,0.303608,0.269955,0.594952,0.107644,5.0352,0.280221,0.0104701,-0.0170506,8.73227,-3.67429,69.7477,-0.00658049,-0.0868756,-3.7504488420672715,0.7381244078278542,0.0615517,999,,,,,,,79.1,3.295833333,79.1,3.295833333,,,,,,,,,,,,,,,,,,,"Ryan Kreidler","25867",668952
"Heston Kjerstad","BAL",8,35,32,8,5,1,0,1,4,4,2,0,9,1,0,0,,0,0,0.2375,0.0662882,0.262122,0.252891,0.301413,0.401342,0.305408,0.702756,0.163842,4.37662,0.295651,-0.00493181,-0.0435091,3.91821,-0.217312,96.3722,-0.0484409,-0.036195,-0.19809477776288986,-0.41119498759508133,0.0609121,999,,,,,,,34.1,4.2625,34.1,4.2625,,,,,,,,,,,,,,,,,,,"Heston Kjerstad","31166",677008
"Will Wagner","SDP",5,21,19,5,3,1,0,0,2,2,2,0,4,0,0,0,,0,0,0.253091,0.0996585,0.173903,0.573069,0.333073,0.363827,0.310082,0.6969,0.110736,3.56871,0.297873,-0.00622009,-0.0361712,2.43061,-0.0506994,101.74,-0.0423913,0.0184908,0.0009064227342605591,-0.10650917887687683,0.0606787,999,,,,,,,17.9,3.58,17.9,3.58,,,,,,,,,,,,,,,,,,,"Will Wagner","29634",695238
"Luis Urías","ARI",6,28,24,6,4,1,0,1,3,3,3,0,5,1,0,0,,0,0,0.230943,0.0970891,0.187808,0.516958,0.32141,0.359896,0.304109,0.681306,0.128953,3.12099,0.265075,-0.0032223,-0.0320959,3.10504,-0.203378,92.9253,-0.0353182,-0.177415,-0.27009930461645126,-0.07741526514291763,0.0597559,999,,,,,,,33.9,5.65,33.9,5.65,,,,,,,,,,,,,,,,,,,"Luis Urias","16622",649966
"Nate Eaton","BOS",15,63,57,14,9,3,0,1,7,7,4,0,16,1,0,0,,2,1,0.240314,0.0647689,0.246124,0.263156,0.297768,0.374606,0.294346,0.672375,0.134292,5.91046,0.303382,-0.000507696,0.114394,6.48696,-0.956974,83.1116,0.113887,0.123254,-1.1401242688298225,-0.4517460837960243,0.0589819,999,,,,,,,55.5,3.7,55.5,3.7,,,,,,,,,,,,,,,,,,,"Nate Eaton","25055",681987
"Jhostynxon Garcia","PIT",63,273,250,58,38,11,2,7,31,29,18,0,76,3,2,1,,3,1,0.231076,0.0650276,0.278299,0.233661,0.288256,0.378732,0.291166,0.666988,0.147656,5.01606,0.298924,0,-0.226198,27.4054,-4.85163,83.16,-0.226198,-0.623357,-5.674983233213425,-2.8483564853668213,0.0572374,999,,,,,,,249.8,3.965079365,249.8,3.965079365,,,,,,,,,,,,,,,,,,,"Jhostynxon Garcia","28142",691373
"John Rave","KCR",21,91,81,18,12,4,1,2,11,9,8,0,24,0,1,1,,3,1,0.228638,0.0923513,0.262575,0.351714,0.302814,0.371839,0.296618,0.674653,0.143201,5.9378,0.294309,-0.0166925,0.0831131,9.53789,-1.21446,85.8558,0.0664207,-0.159369,-1.4506021738052368,-1.1343686133623123,0.0559753,999,,,,,,,82.8,3.942857142,82.8,3.942857142,,,,,,,,,,,,,,,,,,,"John Rave","26284",670231
"Joey Wiemer","WSN",28,119,106,22,14,5,0,3,12,12,10,0,36,1,1,0,,3,1,0.207607,0.0859175,0.299454,0.286914,0.284089,0.341689,0.277122,0.625778,0.134081,4.50551,0.278064,-0.0300703,0.0224825,10.589,-3.47175,75.4426,-0.00758776,0.518349,-3.471147150732577,0.04334908723831177,0.0543649,999,,,,,,,95.8,3.421428571,95.8,3.421428571,,,,,,,,,,,,,,,,,,,"Joey Wiemer","27690",686894
"Adrian Del Castillo","ARI",29,124,111,26,16,6,0,4,13,15,10,0,35,1,1,0,,0,0,0.23038,0.0845124,0.281763,0.299941,0.299713,0.388532,0.299868,0.688245,0.158152,3.38858,0.29859,-0.0435857,-0.128542,13.281,-1.32334,90.0202,-0.172128,-0.0174841,-1.6340910494327545,-1.9674841947853565,0.052586,999,,,,,,,122.6,4.227586206,122.6,4.227586206,,,,,,,,,,,,,,,,,,,"Adrian Del Castillo","29554",680728
"Grant McCray","SFG",11,49,44,10,6,2,0,1,6,5,4,0,15,0,0,0,,2,0,0.222987,0.0771407,0.303735,0.253973,0.287315,0.359078,0.28405,0.646393,0.136091,6.64464,0.306389,-0.00151417,0.0965225,4.63582,-1.1539,82.5621,0.0950083,0.0250484,-0.9176976233720779,-0.1999516561627388,0.0524446,999,,,,,,,43,3.909090909,43,3.909090909,,,,,,,,,,,,,,,,,,,"Grant McCray","25690",687529
"Tyler Fitzgerald","SFG",5,21,19,4,3,1,0,1,2,2,1,0,6,0,0,0,,1,0,0.232798,0.0626561,0.290701,0.215534,0.290225,0.379128,0.292533,0.669353,0.14633,5.62845,0.307657,0.0124597,0.0262352,2.13141,-0.349902,88.373,0.0386948,0.0845676,-0.2506937347352505,0.05956757441163063,0.0519286,999,,,,,,,20.6,4.12,20.6,4.12,,,,,,,,,,,,,,,,,,,"Tyler Fitzgerald","26208",666149
"Joshua Báez","STL",5,21,19,4,3,1,0,1,2,2,2,0,6,0,0,0,,1,0,0.233711,0.0789614,0.279801,0.282206,0.304923,0.382202,0.301698,0.687124,0.148491,6.08019,0.305531,0,0.070071,2.28767,-0.193638,94.406,0.070071,0.0942672,-0.06916031986474991,-0.13073276728391647,0.0510316,999,,,,,,,23.6,4.72,23.6,4.72,,,,,,,,,,,,,,,,,,,"Joshua Baez","sa3017022",695491
"Kameron Misner","KCR",8,35,31,6,4,1,0,1,4,3,4,0,11,0,0,0,,1,0,0.209203,0.107473,0.321031,0.334776,0.29861,0.351867,0.288912,0.650478,0.142665,5.84149,0.296543,-0.013887,0.069124,3.44946,-0.68606,80.5479,0.055237,0.196654,-0.747192271053791,0.021654322743415833,0.0490185,999,,,,,,,28.8,3.6,28.8,3.6,,,,,,,,,,,,,,,,,,,"Kameron Misner","26374",670224
"Thairo Estrada","BAL",3,14,13,3,2,1,0,0,2,2,1,0,3,0,0,0,,0,0,0.257387,0.0429535,0.19058,0.225383,0.299725,0.391255,0.300749,0.69098,0.133868,4.60545,0.297831,0.000536086,-0.0147482,1.51433,-0.139878,93.163,-0.0142121,0.0469616,-0.12702693417668343,0.09696158021688461,0.046224,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Thairo Estrada","16426",642731
"Tanner Murray","CHW",13,56,52,12,8,3,0,1,6,6,3,0,13,1,0,0,,0,0,0.22961,0.0480017,0.237038,0.202506,0.272729,0.345541,0.270906,0.61827,0.115931,3.33313,0.285506,-0.00731925,-0.0837801,4.70044,-1.91639,70.9035,-0.0910993,0.371032,-2.0115452334284782,0.5210322737693787,0.044702,999,,,,,,,45.3,3.484615384,45.3,3.484615384,,,,,,,,,,,,,,,,,,,"Tanner Murray","sa3016805",695020
"Austin Slater","DET",6,28,24,6,4,1,0,1,3,3,3,0,8,0,0,0,,0,0,0.229153,0.103319,0.292167,0.35363,0.316143,0.359085,0.300384,0.675228,0.129932,4.52494,0.312406,-0.00212929,-0.0214533,3.02036,-0.288055,91.2164,-0.0235826,0.0463457,-0.3134538307785988,-0.2536543570458889,0.0405778,999,,,,,,,30.9,5.15,30.9,5.15,,,,,,,,,,,,,,,,,,,"Austin Slater","16153",596103
"Miles Mastrobuoni","SEA",3,14,12,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.237396,0.0999157,0.194862,0.51275,0.31442,0.325234,0.286931,0.639653,0.087838,4.94633,0.291393,-0.00562095,0.0194132,1.35727,-0.296939,88.7316,0.0137922,0.0362182,-0.17214390449225903,0.0862182267010212,0.0405088,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Miles Mastrobuoni","20017",670156
"Tre' Morgan","TBR",6,28,24,6,4,1,0,0,3,3,3,0,6,0,0,0,,0,0,0.245964,0.110932,0.206481,0.537252,0.336761,0.357797,0.309148,0.694558,0.111833,4.17585,0.300693,0,-0.04362,3.21958,-0.088832,96.6217,-0.04362,0.0870968,-0.15510688349604607,-0.41290322691202164,0.0404855,999,,,,,,,21.5,3.583333333,21.5,3.583333333,,,,,,,,,,,,,,,,,,,"Tre' Morgan","sa3022919",691003
"Gabriel Rincones Jr.","PHI",8,35,31,7,4,1,0,1,4,4,4,0,10,0,0,0,,1,0,0.216334,0.10155,0.271651,0.373824,0.304531,0.370474,0.297046,0.675005,0.15414,4.85747,0.274444,-0.00321402,0.00807308,3.6806,-0.454915,87.461,0.00485906,0.10125,-0.5152887450531125,-0.2737499997019768,0.0384101,999,,,,,,,34.4,4.3,34.4,4.3,,,,,,,,,,,,,,,,,,,"Gabriel Rincones Jr.","sa3020758",687282
"Willie MacIver","TEX",3,13,11,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.226454,0.0772562,0.266972,0.28938,0.296854,0.353623,0.287714,0.650477,0.127169,4.73421,0.294114,-0.00130045,-0.000504033,1.24907,-0.263352,84.1448,-0.00180448,0.00690852,-0.2410010356688872,0.2569085229188204,0.0380135,999,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,"Willie MacIver","24641",680862
"Shay Whitcomb","HOU",3,14,13,3,2,1,0,1,2,2,1,0,4,0,0,0,,0,0,0.223709,0.0700012,0.297047,0.235657,0.286232,0.393017,0.295115,0.679249,0.169308,4.71213,0.28511,-0.00235686,0.00737164,1.45028,-0.203924,88.4125,0.00501478,0.0219411,-0.18618601420894265,0.0719410628080368,0.0376113,999,,,,,,,19.1,6.366666666,19.1,6.366666666,,,,,,,,,,,,,,,,,,,"Shay Whitcomb","27789",694376
"Paul DeJong","NYY",5,21,19,4,2,1,0,1,2,3,1,0,7,0,0,0,,0,0,0.204292,0.0623585,0.319844,0.194965,0.262326,0.364793,0.273537,0.62712,0.160501,3.47231,0.26379,-0.0150621,-0.0212879,1.80753,-0.673778,74.1017,-0.03635,0.146954,-0.6773579120635986,0.3219536393880844,0.0375877,999,,,,,,,18.7,3.74,18.7,3.74,,,,,,,,,,,,,,,,,,,"Paul DeJong","18015",657557
"Nick Madrigal","LAA",3,14,13,3,3,1,0,0,1,1,1,0,2,0,0,0,,0,0,0.26159,0.0531238,0.109903,0.483371,0.318027,0.34026,0.293375,0.658287,0.0786695,4.64132,0.291024,-0.00608878,0.000774687,1.43052,-0.223692,85.461,-0.00531409,0.0700457,-0.24521606275811791,0.12004571780562401,0.0364935,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Nick Madrigal","20521",663611
"Max Schuemann","NYY",3,14,12,3,2,0,0,0,2,1,1,0,3,0,0,0,,0,0,0.229238,0.103649,0.230642,0.449393,0.322762,0.335712,0.296541,0.658474,0.106475,5.34314,0.291814,-0.00189786,0.00963055,1.46649,-0.187715,89.9478,0.00773268,-0.0756655,-0.15813557105138898,0.024334482848644257,0.0356105,999,,,,,,,7.8,2.6,7.8,2.6,,,,,,,,,,,,,,,,,,,"Max Schuemann","24488",680474
"Tyler Callihan","PIT",8,35,32,7,5,1,0,1,4,3,3,0,10,0,0,0,,1,0,0.228544,0.0741389,0.277998,0.266689,0.291349,0.351552,0.28363,0.642901,0.123009,5.73717,0.306255,-0.00451519,0.0322461,3.29935,-0.836171,77.9971,0.0277309,0.0417874,-0.8849984407424927,0.06678740680217743,0.0354254,999,,,,,,,30.4,3.8,30.4,3.8,,,,,,,,,,,,,,,,,,,"Tyler Callihan","27497",682997
"Trey Sweeney","DET",3,14,13,3,2,1,0,0,2,1,1,0,4,0,0,0,,0,0,0.22361,0.0845989,0.26782,0.31588,0.294279,0.357678,0.287106,0.651957,0.134069,4.9943,0.287487,-0.00412147,0.000601596,1.35926,-0.294951,82.0699,-0.00351987,0.0077936,-0.2993784367572516,0.15779360104352236,0.0348141,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Trey Sweeney","29575",700242
"Mason McCoy","SDP",6,28,25,5,3,1,0,0,3,2,2,0,9,0,0,0,,1,0,0.203171,0.080106,0.313265,0.255713,0.271649,0.310347,0.258892,0.581996,0.107176,5.56333,0.288805,-0.00190109,0.0274415,2.0771,-1.23132,66.6728,0.0255405,0.184781,-1.0804476905614138,0.48478084802627563,0.0343668,999,,,,,,,13.8,2.3,13.8,2.3,,,,,,,,,,,,,,,,,,,"Mason McCoy","22232",669200
"Pedro León","PHI",10,42,38,8,5,2,0,1,5,5,3,0,13,1,0,0,,1,1,0.216893,0.0735765,0.311764,0.236001,0.288107,0.376026,0.291283,0.664133,0.159133,5.63717,0.291462,-0.019347,-0.00826344,4.22019,-0.742438,83.5127,-0.0276105,-0.179012,-0.8483277335762978,-0.2290116474032402,0.0327411,999,,,,,,,33.1,3.31,33.1,3.31,,,,,,,,,,,,,,,,,,,"Pedro Leon","27781",694175
"Jonah Bride","TEX",3,14,12,3,2,1,0,0,1,1,2,0,3,0,0,0,,0,0,0.217832,0.120996,0.229699,0.526757,0.321109,0.333388,0.294716,0.654497,0.115556,2.43833,0.270993,-0.00538519,-0.0255639,1.44575,-0.208454,88.9681,-0.0309491,-0.0076259,-0.21298317424952984,0.042374104261398315,0.0318446,999,,,,,,,13.7,4.566666666,13.7,4.566666666,,,,,,,,,,,,,,,,,,,"Jonah Bride","24703",681146
"Luis Vázquez","BAL",3,14,13,3,2,1,0,0,1,2,1,0,3,0,0,0,,0,0,0.233367,0.0611497,0.244963,0.249628,0.290495,0.361581,0.286492,0.652076,0.128214,4.12828,0.290955,-0.000942354,-0.0259764,1.35227,-0.301934,83.3418,-0.0269187,0.0299376,-0.3017893433570862,0.1299375593662262,0.0317174,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Luis Vazquez","23442",676679
"Zac Veen","COL",28,119,108,27,18,5,1,3,14,13,9,0,28,1,1,0,,4,1,0.249925,0.0748062,0.235445,0.317723,0.31136,0.395183,0.307969,0.706543,0.145258,5.87959,0.309109,-0.00792695,0.0792366,13.5694,-0.491356,82.9012,0.0713097,-0.0534757,-2.340296156704426,-1.3284758254885674,0.0297102,739.4600219726562,,,,,,,126.4,4.514285714,126.4,4.514285714,,,,,,,,,,,,,,,,,,,"Zac Veen","27770",691728
"Justin Turner",,42,182,160,39,27,8,0,4,19,19,17,0,35,3,2,0,,1,0,0.243763,0.092926,0.194245,0.478395,0.323134,0.369358,0.306145,0.692492,0.125595,2.79391,0.285269,-0.480782,-0.27051,20.4836,-1.02108,95.0138,-0.751292,0.00173608,-1.8238524794578552,-4.04826410789974,0.0294197,999,,,,,,,181.1,4.311904761,181.1,4.311904761,,,,,,,,,,,,,,,,,,,"Justin Turner","5235",457759
"Alika Williams","PIT",3,14,13,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.239923,0.0650067,0.205021,0.317073,0.296886,0.343326,0.283091,0.640211,0.103402,4.48047,0.29288,-0.00558973,-0.0193558,1.31361,-0.340596,77.6278,-0.0249455,0.0653448,-0.3961646854877472,0.2153448536992073,0.0291553,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Alika Williams","27604",675961
"Eduardo Valencia","DET",2,6,6,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.237101,0.0707989,0.22769,0.310944,0.296793,0.400091,0.302177,0.696883,0.16299,2.90972,0.276426,-0.000819777,-0.00826123,0.699684,-0.0565254,92.4514,-0.009081,-0.0122727,-0.06602147594094276,0.11272727232426405,0.0273157,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Eduardo Valencia","sa3006622",680664
"Brett Sullivan","COL",13,51,47,11,7,2,1,1,5,5,4,0,9,0,1,0,,1,0,0.236357,0.0698821,0.168741,0.414138,0.292501,0.36607,0.287503,0.658571,0.129712,5.47588,0.269595,-0.0163992,-0.024921,4.9875,-1.06217,68.8813,-0.0413203,-0.238692,-1.9296845868229866,0.761307880282402,0.0272374,999,,,,,,,49.4,3.8,49.4,3.8,,,,,,,,,,,,,,,,,,,"Brett Sullivan","18217",664954
"Mark Canha","TEX",15,63,55,13,9,3,0,1,6,6,6,0,13,2,1,0,,1,0,0.235926,0.090925,0.208339,0.436429,0.324379,0.349229,0.300855,0.673608,0.113304,3.30686,0.285642,-0.0656954,-0.0665356,6.81991,-0.624021,93.1972,-0.132231,-0.342982,-0.6373617202043533,-1.2679817378520966,0.0269096,999,,,,,,,61.8,4.12,61.8,4.12,,,,,,,,,,,,,,,,,,,"Mark Canha","11445",592192
"Tomás Nido","DET",3,13,12,3,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.229606,0.0438867,0.252771,0.173622,0.269227,0.340868,0.267363,0.610096,0.111262,2.78928,0.289575,-0.0177222,-0.0136808,1.03757,-0.474846,68.4696,-0.031403,0.0322565,-0.5070794448256493,0.28225645050406456,0.0268043,999,,,,,,,7.8,2.6,7.8,2.6,,,,,,,,,,,,,,,,,,,"Tomas Nido","13755",621512
"Enmanuel Valdez","PIT",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.238087,0.0946773,0.222753,0.425033,0.313289,0.405501,0.313639,0.71879,0.167413,3.94108,0.280216,-0.000993879,-0.00688841,0.830425,0.00332074,98.5547,-0.00788228,0.0201629,-0.019873143173754215,0.045162903144955635,0.0264152,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Enmanuel Valdez","21716",665839
"Spencer Jones","NYY",5,21,19,4,2,1,0,1,3,3,2,0,8,0,0,0,,1,0,0.222748,0.078752,0.376583,0.209123,0.2887,0.410388,0.302479,0.699088,0.18764,5.95882,0.325695,-0.00176658,0.0219935,2.30099,-0.180319,94.0386,0.0202269,-0.11745,-0.12732236459851265,-0.34245000034570694,0.0258864,999,,,,,,,23.6,4.72,23.6,4.72,,,,,,,,,,,,,,,,,,,"Spencer Jones","sa3019969",682987
"Nick Sogard","BOS",5,21,18,5,3,1,0,0,2,2,2,0,4,0,0,0,,0,0,0.244287,0.105296,0.211916,0.496873,0.328882,0.340084,0.300138,0.668965,0.0957962,4.40381,0.308222,-0.0139937,-0.0104967,2.26108,-0.220231,87.1018,-0.0244904,-0.102576,-0.3437333609908819,-0.12757633253932,0.0257292,999,,,,,,,18.9,3.78,18.9,3.78,,,,,,,,,,,,,,,,,,,"Nick Sogard","25483",686765
"Brandon Valenzuela","TOR",3,13,12,2,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.202952,0.0825898,0.269451,0.306511,0.272082,0.328218,0.265352,0.6003,0.125266,3.18487,0.258299,-0.00110686,-0.0140966,1.01667,-0.49575,67.9385,-0.0152034,0.0580755,-0.49889331962913275,0.3080754727125168,0.0255513,999,,,,,,,2.2,0.733333333,2.2,0.733333333,,,,,,,,,,,,,,,,,,,"Brandon Valenzuela","sa3005729",678218
"Kyren Paris","LAA",3,14,12,3,2,0,0,0,2,1,1,0,5,0,0,0,,1,0,0.205171,0.0928204,0.335496,0.276666,0.288751,0.352931,0.284293,0.641682,0.147761,6.95697,0.291875,0,0.0456365,1.32728,-0.326925,79.2047,0.0456365,0.0123419,-0.2974986620247364,0.06234188191592693,0.0252405,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Kyren Paris","26420",677347
"Kyle Farmer","ATL",6,28,26,6,4,1,0,1,3,3,2,0,6,1,0,0,,0,0,0.233138,0.060031,0.223631,0.268437,0.291721,0.357972,0.285938,0.649692,0.124833,3.27138,0.282792,-0.010672,-0.0642224,2.69195,-0.616466,80.9908,-0.0748944,-0.0817753,-0.7057291939854622,0.018224678933620453,0.0249706,999,,,,,,,28.9,4.816666666,28.9,4.816666666,,,,,,,,,,,,,,,,,,,"Kyle Farmer","14813",571657
"Garrett Stubbs","PHI",5,19,17,4,3,1,0,0,2,2,2,0,5,0,0,0,,0,0,0.22188,0.0803231,0.245491,0.327194,0.294652,0.326301,0.276495,0.620953,0.104422,4.44324,0.283491,-0.00919706,-0.0115724,1.69871,-0.56992,73.3826,-0.0207695,-0.0478591,-0.6264743003994226,0.3271408900618553,0.0245556,999,,,,,,,14.3,2.86,14.3,2.86,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
"Drew Waters","KCR",3,14,13,3,2,1,0,0,2,1,1,0,4,0,0,0,,0,0,0.229009,0.0771627,0.294856,0.261696,0.294643,0.373475,0.292629,0.668119,0.144467,6.63262,0.313352,-0.00115517,0.00450625,1.42203,-0.232173,83.1085,0.00335109,-0.0169064,-0.2753697382286191,0.033093590289354324,0.0245121,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Drew Waters","20505",671221
"Victor Mesa Jr.","TBR",3,14,13,3,2,1,0,0,1,2,1,0,3,0,0,0,,0,0,0.233229,0.0707257,0.210398,0.336151,0.291745,0.36917,0.289708,0.660915,0.135941,4.36077,0.275379,0.00104258,-0.0109386,1.38883,-0.265373,83.2309,-0.00989603,-0.0062584,-0.28659691475331783,0.04374159732833505,0.0244529,999,,,,,,,9.7,3.233333333,9.7,3.233333333,,,,,,,,,,,,,,,,,,,"Victor Mesa Jr.","25999",683748
